iter	Passed	Remaining
446	1117	1382
447	1119	1379
448	1121	1375
449	1123	1372
450	1124	1369
451	1126	1365
452	1128	1363
453	1130	1360
454	1132	1356
455	1134	1353
456	1136	1350
457	1138	1347
458	1140	1343
459	1142	1340
460	1143	1337
461	1145	1333
462	1147	1330
463	1149	1327
464	1150	1323
465	1152	1320
466	1154	1317
467	1156	1314
468	1158	1311
469	1159	1307
470	1161	1304
471	1162	1300
472	1164	1297
473	1166	1294
474	1168	1291
475	1170	1289
476	1174	1287
477	1177	1285
478	1180	1283
479	1183	1282
480	1188	1281
481	1190	1279
482	1192	1276
483	1194	1273
484	1196	1270
485	1198	1267
486	1200	1264
487	1201	1260
488	1203	1257
489	1205	1254
490	1206	1251
491	1208	1248
492	1210	1244
493	1212	1241
494	1213	1238
495	1215	1235
496	1217	1232
497	1218	1228
498	1220	1225
499	1222	1222
500	1224	1219
501	1225	1215
502	1227	1212
503	1229	1209
504	1231	1206
505	1232	1203
506	1234	1200
507	1236	1197
508	1237	1194
509	1239	1190
510	1241	1188
511	1243	1185
512	1245	1182
513	1247	1179
514	1248	1176
515	1250	1172
516	1252	1169
517	1254	1167
518	1256	1164
519	1258	1161
520	1259	1158
521	1261	1154
522	1263	1151
523	1264	1148
524	1266	1145
525	1268	1142
526	1270	1139
527	1271	1136
528	1273	1133
529	1275	1130
530	1276	1127
531	1278	1124
532	1280	1121
533	1282	1118
534	1283	1115
535	1285	1113
536	1287	1110
537	1289	1107
538	1290	1104
539	1292	1101
540	1294	1097
541	1296	1095
542	1297	1092
543	1299	1089
544	1301	1086
545	1303	1083
546	1304	1080
547	1306	1077
548	1308	1074
549	1310	1072
550	1312	1069
551	1314	1066
552	1316	1063
553	1317	1060
554	1319	1058
555	1321	1055
556	1322	1052
557	1324	1049
558	1326	1046
559	1328	1043
560	1329	1040
561	1331	1037
562	1333	1034
563	1334	1031
564	1336	1028
565	1338	1026
566	1340	1023
567	1342	1020
568	1343	1017
569	1345	1015
570	1347	1012
571	1349	1009
572	1351	1006
573	1352	1003
574	1354	1001
575	1356	998
576	1358	995
577	1359	992
578	1361	990
579	1363	987
580	1364	984
581	1366	981
582	1368	978
583	1370	975
584	1371	973
585	1373	970
586	1375	967
587	1376	964
588	1378	961
589	1380	959
590	1382	956
591	1383	953
592	1385	950
593	1387	948
594	1389	945
595	1390	942
596	1392	940
597	1395	938
598	1397	935
599	1398	932
600	1400	929
601	1402	927
602	1404	924
603	1405	921
604	1407	919
605	1409	916
606	1411	914
607	1413	911
608	1415	908
609	1417	906
610	1419	903
611	1422	901
612	1424	899
613	1426	896
614	1427	893
615	1429	891
616	1431	888
617	1433	885
618	1435	883
619	1437	880
620	1438	878
621	1440	875
622	1442	872
623	1444	870
624	1445	867
625	1447	864
626	1448	861
627	1450	859
628	1452	856
629	1453	853
630	1455	851
631	1457	848
632	1458	845
633	1460	843
634	1462	840
635	1464	838
636	1465	835
637	1467	832
638	1469	830
639	1470	827
640	1472	824
641	1474	822
642	1476	819
643	1477	816
644	1479	814
645	1481	811
646	1483	809
647	1485	806
648	1487	804
649	1489	801
650	1490	799
651	1493	796
652	1494	794
653	1496	791
654	1498	789
655	1500	786
656	1502	784
657	1504	781
658	1506	779
659	1507	776
660	1509	774
661	1510	771
662	1512	768
663	1514	766
664	1515	763
665	1517	761
666	1519	758
667	1521	756
668	1523	753
669	1525	751
670	1526	748
671	1528	746
672	1530	743
673	1532	741
674	1533	738
675	1536	736
676	1538	734
677	1540	731
678	1541	728
679	1543	726
680	1545	723
681	1547	721
682	1548	718
683	1550	716
684	1552	713
685	1553	711
686	1555	708
687	1557	706
688	1558	703
689	1560	701
690	1563	699
691	1565	696
692	1566	694
693	1568	691
694	1570	689
695	1571	686
696	1573	684
697	1576	682
698	1578	679
699	1580	677
700	1582	674
701	1583	672
702	1585	669
703	1587	667
704	1589	664
705	1590	662
706	1592	659
707	1593	657
708	1595	654
709	1597	652
710	1598	649
711	1600	647
712	1602	644
713	1603	642
714	1605	640
715	1607	637
716	1609	635
717	1610	632
718	1612	630
719	1614	627
720	1616	625
721	1618	623
722	1620	620
723	1621	618
724	1623	615
725	1625	613
726	1627	610
727	1628	608
728	1630	606
729	1632	603
730	1634	601
731	1636	598
732	1637	596
733	1639	594
734	1640	591
735	1642	589
736	1644	586
737	1646	584
738	1647	582
739	1649	579
740	1651	577
741	1652	574
742	1654	572
743	1656	569
744	1658	567
745	1659	565
746	1661	562
747	1663	560
748	1665	558
749	1666	555
750	1668	553
751	1670	550
752	1671	548
753	1673	546
754	1675	543
755	1676	541
756	1678	538
757	1680	536
758	1682	534
759	1684	531
760	1686	529
761	1687	527
762	1689	524
763	1691	522
764	1692	520
765	1694	517
766	1696	515
767	1697	512
768	1699	510
769	1701	508
770	1703	505
771	1705	503
772	1706	501
773	1708	498
774	1710	496
775	1712	494
776	1713	491
777	1715	489
778	1717	487
779	1719	484
780	1721	482
781	1722	480
782	1724	478
783	1726	475
784	1728	473
785	1730	471
786	1732	468
787	1734	466
788	1736	464
789	1737	461
790	1739	459
791	1741	457
792	1743	455
793	1744	452
794	1746	450
795	1748	448
796	1750	445
797	1752	443
798	1753	441
799	1755	438
800	1757	436
801	1759	434
802	1760	431
803	1762	429
804	1764	427
805	1766	425
806	1768	422
807	1769	420
808	1771	418
809	1773	415
810	1775	413
811	1776	411
812	1778	409
813	1780	406
814	1782	404
815	1784	402
816	1785	400
